Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
10	280	90	10	10	10	280	10	13.008	10.1088	0.466464	0.026632	0.0264576	7.98976	0.250672	0.0246368	0.0256128	12.5347	12.6941	12.5472	16.1722	2.35392	9.35251	20.0928	13.0963	17.905	0.733872	0.494304	0.718992	1	109.647
10	280	90	10	10	10	280	10	13.0224	10.1184	0.466176	0.0266224	0.0264416	7.99744	0.250752	0.0246368	0.025608	12.5386	12.6874	12.5328	16.1645	2.35584	9.3479	20.1072	13.1002	17.8915	0.733776	0.494048	0.718704	1	109.605
10	280	90	10	10	10	280	10	13.0378	10.1286	0.46592	0.0266144	0.0264272	8.00563	0.250816	0.0246384	0.0256016	12.5414	12.6816	12.5174	16.1558	2.35792	9.34272	20.1226	13.104	17.8771	0.733728	0.493824	0.718416	1	109.562
10	280	90	10	10	10	280	10	13.0541	10.1395	0.465696	0.026608	0.0264128	8.01434	0.250864	0.0246384	0.0255952	12.5453	12.6758	12.5011	16.1462	2.36	9.33754	20.1389	13.1069	17.8618	0.733728	0.493632	0.718224	1	109.52
10	280	90	10	10	10	280	10	13.0714	10.151	0.465504	0.0266032	0.0264	8.02355	0.250912	0.02464	0.0255888	12.5501	12.671	12.4838	16.1357	2.36208	9.33235	20.1562	13.1088	17.8454	0.733776	0.493472	0.71808	1	109.477
10	280	90	10	10	10	280	10	13.0896	10.1632	0.465344	0.0266	0.0263872	8.03328	0.25096	0.0246416	0.025584	12.5539	12.6672	12.4656	16.1242	2.36416	9.32717	20.1744	13.1098	17.8282	0.733824	0.493344	0.717888	1	109.434
10	280	90	10	10	10	280	10	13.1088	10.176	0.465216	0.0265968	0.0263728	8.04352	0.251008	0.0246448	0.0255776	12.5568	12.6643	12.4464	16.1117	2.36624	9.32198	20.1936	13.1098	17.8099	0.73392	0.493248	0.717792	1	109.39
10	280	90	10	10	10	280	10	13.129	10.1894	0.46512	0.026592	0.0263584	8.05427	0.25104	0.024648	0.0255728	12.5587	12.6624	12.4262	16.0982	2.36832	9.31622	20.2138	13.1088	17.7907	0.734016	0.493184	0.717648	1	109.346
10	280	90	10	10	10	280	10	13.1501	10.2035	0.465056	0.0265888	0.026344	8.06554	0.251072	0.0246528	0.025568	12.5616	12.6614	12.4051	16.0848	2.37024	9.31046	20.2349	13.1069	17.7706	0.73416	0.493152	0.717504	1	109.302
10	280	90	10	10	10	280	10	13.1722	10.2182	0.465024	0.0265872	0.0263312	8.07731	0.251088	0.0246576	0.0255648	12.5635	12.6614	12.383	16.0704	2.37216	9.30413	20.257	13.104	17.7494	0.734256	0.493152	0.71736	1	109.256
10	280	90	10	10	10	280	10	13.1952	10.2336	0.465024	0.0265872	0.0263184	8.0896	0.251104	0.024664	0.02556	12.5645	12.6624	12.36	16.055	2.37392	9.29779	20.28	13.1002	17.7274	0.734352	0.493184	0.71712	1	109.211
10	280	90	10	10	10	280	10	13.2192	10.2496	0.465056	0.0265888	0.0263056	8.1024	0.25112	0.0246704	0.0255568	12.5645	12.6643	12.336	16.0387	2.37568	9.29146	20.304	13.0954	17.7043	0.734448	0.493248	0.716976	1	109.164
10	280	90	10	10	10	280	10	13.2442	10.2662	0.46512	0.0265904	0.0262928	8.11571	0.251136	0.0246768	0.0255536	12.5635	12.6672	12.311	16.0224	2.37728	9.28512	20.329	13.0896	17.6813	0.734544	0.493344	0.716784	1	109.119
10	280	90	10	10	10	280	10	13.2701	10.2835	0.465216	0.0265936	0.0262816	8.12954	0.251136	0.0246848	0.0255504	12.5616	12.671	12.2851	16.0051	2.37888	9.27821	20.3549	13.0829	17.6592	0.734688	0.493472	0.716592	1	109.073
10	280	90	10	10	10	280	10	13.297	10.3014	0.465344	0.0265984	0.0262704	8.14387	0.25112	0.0246944	0.0255472	12.5587	12.6758	12.2582	15.9869	2.38048	9.27072	20.3818	13.0752	17.6362	0.734832	0.493632	0.716496	1	109.028
10	280	90	10	10	10	280	10	13.3248	10.32	0.465504	0.0266016	0.0262592	8.15872	0.251104	0.024704	0.0255456	12.5549	12.6816	12.2304	15.9677	2.38208	9.26266	20.4096	13.0666	17.6131	0.735024	0.493824	0.716352	1	108.984
10	280	90	10	10	10	280	10	13.3536	10.3392	0.465696	0.0266064	0.026248	8.17408	0.251088	0.0247152	0.0255456	12.5501	12.6883	12.2016	15.9475	2.38368	9.25402	20.4384	13.057	17.5901	0.735216	0.494048	0.716208	1	108.942
10	280	90	10	10	10	280	10	13.3834	10.359	0.46592	0.0266112	0.0262368	8.18995	0.251056	0.0247248	0.025544	12.5443	12.695	12.1718	15.9283	2.38528	9.24538	20.4682	13.0464	17.5661	0.735456	0.494304	0.716064	1	108.902
10	280	90	10	10	10	280	10	13.4141	10.3795	0.466176	0.0266176	0.0262272	8.20634	0.251024	0.024736	0.0255424	12.5376	12.7008	12.1411	15.9082	2.38704	9.23616	20.4989	13.0349	17.5421	0.735696	0.49456	0.716016	1	108.865
