[monophosphorylated PER]_0	[total PER]_0	[PER mRNA]_0	[nuclear PER]_0	[EmptySet]_0	[unphosphorylated PER]_0	[biphosphorylated PER]_0	(degradation of PER).Kd	(degradation of PER mRNA).Vm	(first phosphorylation of PER).K1	(removal of the first PER phosphate).V2	(transcription of PER).KI	(transcription of PER).Vs	(removal of the second PER phosphate).V4	(second phosphorylation of PER).V3	(transcription of PER).n	(removal of the second PER phosphate).K4	(removal of the first PER phosphate).K2	(translocation of PER to the cytoplasm).k2	(first phosphorylation of PER).V1	(translation of PER).ks	(second phosphorylation of PER).K3	(translocation of PER to the nucleus).k1	(degradation of PER).Vd	(degradation of PER mRNA).Km	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
6.10095e-005	1.8666	1.51978	0.634953	0	1.11225	0.119334	1.6995	2.49917e-006	6398.83	18991.2	17880.5	0.000120768	3.81177e-006	1e+006	1.29118e-005	0.715117	64.9285	0.000508228	4.05357e-005	0.000389184	623.613	225.49	75.8171	16.5859	2.2059e-006
4.6609e-005	1.68115	7.2149	0.000379588	0	1.6807	2.61291e-005	0.0481809	459.429	5.45704	449.007	3.10834e-005	0.000134586	4.41635e-006	5.85298e-005	0.796418	0.261112	15902.7	91649.3	0.106328	7.6361e-005	0.198303	4.29844	2.9783e-005	0.000185623	2.94825e-006
2.02952e-005	1.6867	0.0491183	0.000230188	0	1.68644	1.65147e-005	0.0469591	0.000139036	16656	4.17803e-006	5.87459	0.00292754	1.12823	71.4859	0.00451024	107.955	1.69656	29639.5	3.40638e-006	8.51103e-006	1317.04	1.84564e-006	5.57873e-005	47.0294	3.20703e-006
0.162498	0.640895	5.69734e-006	0.422552	0	0.0533002	0.00254581	0.0585033	661.139	47.5825	0.000477174	0.0379586	0.167145	0.000523751	0.118773	5.70586e-006	0.804983	50.4406	4.35111e-005	0.000147184	471659	0.000358193	704957	0.132034	4.08279e-006	3.52519e-006
0.0780125	5.73354	7.79847e-006	0.394876	0	5.25887	0.00177669	422546	5550.54	32.2052	67966.1	0.00282772	0.119814	50281.7	210.995	9.59552e-005	165084	7107.86	1.89323e-005	122781	0.00043388	0.128916	0.00469244	79328	0.000178163	4.11312e-006
0.0949463	0.764008	8.3673e-006	0.664085	0	3.62271e-006	0.00497288	0.0589711	0.00264975	0.00978655	458982	2290.95	0.0119215	34618.8	186.117	8.86578e-005	10.1663	0.00560058	2.41618e-005	163544	0.000153524	0.000759777	2.44717e-006	80056.7	0.000149015	3.26054e-006
52.8405	1073	276.396	2.18577e-005	0	34.9249	985.233	0.28452	2.80957e-006	119036	8008.57	7.4576e-005	0.0021994	1.05693	11172.3	3.77538	16.0416	2613.47	0.00140613	3.04834	0.00381155	295.878	0.0227141	18.6306	518513	0.361489
11.3347	46.8279	4.37155	6.62253e-006	0	0.00261298	35.4906	161.585	5.20256e-006	0.00153967	10.3414	1e-006	2.60834e-005	3.97903e-006	15.043	0.00202221	0.00291995	7.80219e-006	54805	63.7176	0.000958774	206071	0.0593942	223.24	3305.81	0.000280307
1.65196e-006	17.8801	5.91466	4.66518e-006	0	0.148814	17.7312	129.709	9.59446e-006	0.00218639	11.4075	1.14379e-006	2.46142e-005	3.85286e-006	2.53561e-005	0.759485	7540.05	8.12867e-006	41961.4	67.6616	0.000608508	171906	0.0394212	189.806	2453.15	2.1822e-005
0.00676836	3.84006	1e-006	4.08496e-006	0	2.80802e-006	3.83329	9.95764e-005	171685	4.44182e-006	1.353e-005	0.751008	0.00151854	3753.24	0.205499	7.74933	3729.63	835977	0.0622683	7.22339	549.347	67.4907	9570.97	0.00757516	38.4176	8.30967e-006
0.471768	0.502328	4.20811e-006	4.16561e-006	0	0.0305553	1.00984e-006	0.000307168	2.26348	57011.9	3295.65	77.8678	0.000701623	0.0458408	0.133433	2.16453e-005	224360	287609	0.000127714	45.3219	0.00849744	0.0104911	4019.67	0.00216251	2451.98	3.30221e-006
0.767059	1.00747	3.91055e-006	0.18029	0	0.0601208	1.32037e-006	55545.3	7.43252e-006	13.3916	2490.12	1181.58	0.000563766	5849.27	0.210424	2.25562e-005	4918.78	0.837893	6.80141e-005	44.8254	0.00974961	26440	0.829026	594655	0.0145566	3.26349e-006
0.75039	0.976043	2.79086e-006	0.187064	0	0.038588	1.3384e-006	96828.8	7.78513e-006	13.5597	3031.18	1.15327e-005	0.000822399	12716.1	0.188685	3.12329e-005	4990.55	1.11064	0.000147389	45.0041	0.0075775	0.000550305	2.63388e-006	15.149	0.0278942	3.13641e-006
0.36051	1.80911	3.05417e-006	1.35808	0	0.0905094	2.64834e-006	0.0294086	44974	1236.4	386675	125.222	2.18204	7871.92	0.0509558	0.0101924	19.62	0.000269737	9.55546e-005	86.2303	0.00560882	42933.9	0.000623511	227943	4047.41	2.9213e-006
0.490909	1.74067	0.0010429	1.17931	0	0.0704518	3.00641e-006	0.0415797	29387.5	693.584	0.0453746	0.487062	6.66106e-006	9494.97	0.0600828	0.0120827	0.314881	0.000373729	0.000114738	76.5217	0.000170133	0.00256489	0.0281751	3.05273e-005	2.26884e-006	2.73404e-006
0.00160978	0.869274	9.31975e-006	3.45947e-006	0	0.867659	2.00251e-006	0.0360963	0.018018	0.0924551	689580	872.335	0.0293481	156321	0.0494785	0.00745886	233259	167.411	8.68741e-005	3822.19	1.60305e-005	3230.15	1.77352e-005	5.78456e-006	0.351585	2.79147e-006
0.0129714	0.0933251	0.885484	0.0486922	0	2.66011e-005	0.0316348	822.384	0.481804	0.00157941	0.0759926	0.000828857	0.601263	0.242728	93.862	0.00213574	161628	42.9483	200.806	7.63375	1.12756e-005	3381.13	2.03439e-005	1.2591e-005	0.245371	4.07182e-006
0.0126789	0.230795	1.12508	0.00122635	0	1.28401e-006	0.216888	1070.16	0.479124	0.00129122	0.117006	0.00101097	0.533389	0.203826	97.2686	0.00180799	137900	39.8346	82.4142	297433	1.51217e-005	1.08088e-006	1716.69	0.793749	0.197552	4.00604e-006
0.0113471	0.845488	0.885456	0.00138715	0	1.28058e-006	0.832753	0.706554	95396.7	4.51602	0.0865983	0.00088834	30415.2	0.161541	98.5555	0.00556877	180281	49.7416	78.7096	321427	1.79647e-005	1.76782e-006	1797.75	1.01663	0.199735	4.52292e-006
