Time	[X]	[Y]	[Z]
0.544	-18.2206	-12.2902	58.6125
0.545	-18.1605	-12.0655	58.5996
0.546	-18.0988	-11.8419	58.582
0.547	-18.0354	-11.6197	58.5597
0.548	-17.9705	-11.3988	58.5327
0.549	-17.904	-11.1795	58.5011
0.55	-17.836	-10.9618	58.465
0.551	-17.7665	-10.7458	58.4244
0.552	-17.6956	-10.5316	58.3794
0.553	-17.6232	-10.3192	58.3301
0.554	-17.5495	-10.1088	58.2765
0.555	-17.4744	-9.90041	58.2188
0.556	-17.398	-9.69414	58.1568
0.557	-17.3204	-9.49005	58.0908
0.558	-17.2414	-9.28822	58.0209
0.559	-17.1613	-9.08871	57.947
0.56	-17.08	-8.89159	57.8693
0.561	-16.9975	-8.69692	57.7878
0.562	-16.914	-8.50476	57.7026
0.563	-16.8294	-8.31517	57.6139
0.564	-16.7437	-8.12821	57.5216
0.565	-16.6571	-7.94391	57.4259
0.566	-16.5695	-7.76234	57.3269
0.567	-16.4809	-7.58353	57.2246
0.568	-16.3915	-7.40753	57.1191
0.569	-16.3013	-7.23437	57.0105
0.57	-16.2102	-7.06409	56.8989
0.571	-16.1184	-6.89673	56.7844
0.572	-16.0258	-6.73232	56.667
0.573	-15.9325	-6.57087	56.5468
0.574	-15.8386	-6.41242	56.424
0.575	-15.744	-6.25699	56.2986
0.576	-15.6488	-6.1046	56.1707
0.577	-15.5531	-5.95527	56.0403
0.578	-15.4569	-5.809	55.9076
0.579	-15.3602	-5.66581	55.7727
0.58	-15.263	-5.52572	55.6355
0.581	-15.1654	-5.38872	55.4963
0.582	-15.0675	-5.25482	55.355
0.583	-14.9692	-5.12402	55.2118
0.584	-14.8706	-4.99632	55.0667
0.585	-14.7717	-4.87173	54.9199
0.586	-14.6726	-4.75024	54.7713
0.587	-14.5733	-4.63183	54.6211
0.588	-14.4738	-4.51651	54.4694
0.589	-14.3742	-4.40426	54.3162
0.59	-14.2744	-4.29507	54.1615
0.591	-14.1746	-4.18893	54.0055
0.592	-14.0747	-4.08582	53.8482
0.593	-13.9748	-3.98573	53.6898
0.594	-13.8749	-3.88863	53.5301
0.595	-13.7751	-3.79452	53.3694
0.596	-13.6753	-3.70335	53.2077
0.597	-13.5757	-3.61513	53.0451
0.598	-13.4761	-3.52981	52.8816
0.599	-13.3767	-3.44738	52.7172
0.6	-13.2775	-3.36781	52.5521
0.601	-13.1786	-3.29108	52.3862
0.602	-13.0798	-3.21715	52.2197
0.603	-12.9813	-3.146	52.0527
0.604	-12.8831	-3.07759	51.885
0.605	-12.7852	-3.0119	51.7169
0.606	-12.6876	-2.9489	51.5483
0.607	-12.5904	-2.88855	51.3793
0.608	-12.4936	-2.83082	51.21
0.609	-12.3972	-2.77568	51.0404
0.61	-12.3012	-2.7231	50.8705
0.611	-12.2056	-2.67303	50.7005
0.612	-12.1106	-2.62545	50.5302
0.613	-12.0159	-2.58033	50.3598
0.614	-11.9218	-2.53762	50.1894
0.615	-11.8283	-2.49729	50.0188
0.616	-11.7352	-2.4593	49.8483
0.617	-11.6428	-2.42363	49.6778
0.618	-11.5509	-2.39023	49.5073
0.619	-11.4595	-2.35906	49.3369
0.62	-11.3689	-2.3301	49.1667
0.621	-11.2788	-2.3033	48.9966
0.622	-11.1893	-2.27864	48.8267
0.623	-11.1006	-2.25607	48.657
0.624	-11.0125	-2.23555	48.4875
0.625	-10.925	-2.21706	48.3183
0.626	-10.8383	-2.20055	48.1494
0.627	-10.7523	-2.186	47.9809
0.628	-10.667	-2.17335	47.8126
0.629	-10.5824	-2.16259	47.6447
0.63	-10.4986	-2.15368	47.4772
0.631	-10.4155	-2.14657	47.3101
0.632	-10.3332	-2.14125	47.1435
0.633	-10.2517	-2.13766	46.9772
0.634	-10.1709	-2.13579	46.8115
0.635	-10.091	-2.13559	46.6462
0.636	-10.0118	-2.13703	46.4814
0.637	-9.93349	-2.14008	46.3171
0.638	-9.85597	-2.14472	46.1534
0.639	-9.77927	-2.1509	45.9902
0.64	-9.7034	-2.15859	45.8276
0.641	-9.62837	-2.16777	45.6655
0.642	-9.55419	-2.1784	45.504
0.643	-9.48086	-2.19046	45.3431
0.644	-9.40839	-2.20391	45.1828
0.645	-9.33677	-2.21873	45.0231
0.646	-9.26603	-2.23489	44.864
0.647	-9.19615	-2.25235	44.7056
0.648	-9.12715	-2.2711	44.5478
0.649	-9.05903	-2.29111	44.3907
0.65	-8.99179	-2.31234	44.2342
0.651	-8.92544	-2.33477	44.0784
0.652	-8.85998	-2.35838	43.9232
0.653	-8.79541	-2.38315	43.7688
0.654	-8.73174	-2.40904	43.615
0.655	-8.66896	-2.43604	43.4619
0.656	-8.60708	-2.46412	43.3096
0.657	-8.5461	-2.49326	43.1579
0.658	-8.48602	-2.52343	43.0069
0.659	-8.42685	-2.55461	42.8567
0.66	-8.36858	-2.58679	42.7071
0.661	-8.31121	-2.61995	42.5583
0.662	-8.25475	-2.65405	42.4102
0.663	-8.1992	-2.68909	42.2628
0.664	-8.14455	-2.72504	42.1162
0.665	-8.09081	-2.76188	41.9703
0.666	-8.03797	-2.7996	41.8251
0.667	-7.98604	-2.83818	41.6807
0.668	-7.93502	-2.8776	41.537
0.669	-7.88489	-2.91785	41.3941
0.67	-7.83567	-2.9589	41.2519
0.671	-7.78736	-3.00075	41.1104
0.672	-7.73994	-3.04338	40.9697
0.673	-7.69343	-3.08677	40.8298
0.674	-7.64781	-3.13091	40.6906
0.675	-7.60309	-3.17579	40.5521
